Funder,Donation Amount,Year,"Type of Donations: (gift, sponsored projects...)",Columbia school,Columbia Affiliates,Which Specific Columbia Program?,Source,Specific Study DOI,Notes,Author Full Names,Article Title,Source Title,Affiliations,Funding Text,ISSN
NSF(National Science Foundation (NSF)); DARPA/NIWC-Pacific; IBM(International Business Machines (IBM)),,2022,,,,,0,10.1109/SANER53432.2022.00114,,"Ding, Yangruibo; Suneja, Sahil; Zheng, Yunhui; Laredo, Jim; Morari, Alessandro; Kaiser, Gail; Ray, Baishakhi",VELVET: a noVel Ensemble Learning approach to automatically locate VulnErable sTatements,"2022 IEEE INTERNATIONAL CONFERENCE ON SOFTWARE ANALYSIS, EVOLUTION AND REENGINEERING (SANER 2022)",Columbia University; International Business Machines (IBM),"This work is supported in part by NSF grants CCF-2107405, CCF-1845893, CCF-1815494, IIS-2040961, DARPA/NIWC-Pacific N66001-21-C-4018, and IBM. Any opinions, findings, conclusions, or recommendations expressed herein are those of the authors and do not necessarily reflect those of the US Government, NSF, DARPA, or IBM.",1944-2793
Lamont-Doherty Earth Observatory and Pacific Gas and Electric,,2014,,,,,0,10.1002/2014GC005420,,"Crone, Timothy J.; Tolstoy, Maya; Carton, Helene",Estimating shallow water sound power levels and mitigation radii for the R/V Marcus G. Langseth using an 8 km long MCS streamer,GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS,Columbia University; Columbia University,"We would like to thank the late John Diebold for his early work on the development of processing algorithms for seismic streamer data which helped make this paper possible. We also thank Steve Holbrook and all co-PI's and participants of the COAST project for collecting the data used in this paper, Suzanne Carbotte for making the data from line A/T available for this study and three anonymous reviewers for thorough reviews of our manuscript. The data used in this study are available for download from http://www.marine-geo.org/tools/search/entry.php?id=MGL1212. Support for this research was provided by the Lamont-Doherty Earth Observatory and Pacific Gas and Electric.",
Sierra-Pacific Mental Illness Education; V21 Sierra-Pacific Mental Illness Education and Clinical Center (MIRECC),,2021,,,,,,,,"Cohen, Jeffrey M.; Norona, Jerika C.; Yadavia, James E.; Borsari, Brian",Affirmative Dialectical Behavior Therapy Skills Training With Sexual Minority Veterans,COGNITIVE AND BEHAVIORAL PRACTICE,Columbia University; University of California System; University of California San Francisco; US Department of Veterans Affairs; Veterans Health Administration (VHA); VA Long Beach Healthcare System,Dr. Norona's effort was supported by the Sierra-Pacific Mental Illness Education and V21 Sierra-Pacific Mental Illness Education and Clinical Center (MIRECC). Dr. Borsari's contribution is the result of work supported with resources and the use of facilities at the San Francisco VA Medical Center. The content is solely the responsibility of the authors and does not necessarily represent the official views of the Department of Veterans Affairs or the United States Government. The authors declare that there are no conflicts of interest.,1077-7229
Department of Energy (DOE) Small Business Innovation Research (SBIR) ASCR Program; Defense Advanced Research Projects Agency (DARPA)(United States Department of DefenseDefense Advanced Research Projects Agency (DARPA)); Naval Information Warfare Center Pacific (NIWC Pacific); U.S. Department of Energy (DOE)(United States Department of Energy (DOE)),,2022,,,,,,,,"Hattink, Maarten; Dai, Liang Yuan; Zhu, Ziyi; Bergman, Keren",Streamlined Architecture for Thermal Control and Stabilization of Cascaded DWDM Micro-Ring Filters Bus,2022 OPTICAL FIBER COMMUNICATIONS CONFERENCE AND EXHIBITION (OFC),Columbia University,This research was supported in part by the Department of Energy (DOE) Small Business Innovation Research (SBIR) ASCR Program under contract DE-SC0017182. And by the Defense Advanced Research Projects Agency (DARPA) and Naval Information Warfare Center Pacific (NIWC Pacific) under Contract No. N66001-20-C-4001.,
"Battelle Memorial Institute, Pacific Northwest Division",,2021,,,,,0,10.1109/TCNS.2020.3029183,,"Chen, Yuxiao; Anderson, James; Kalsi, Karanjit; Ames, Aaron D.; Low, Steven H.",Safety-Critical Control Synthesis for Network Systems With Control Barrier Functions and Assume-Guarantee Contracts,IEEE TRANSACTIONS ON CONTROL OF NETWORK SYSTEMS,California Institute of Technology; Columbia University; United States Department of Energy (DOE); Pacific Northwest National Laboratory,"This work was supported by the Battelle Memorial Institute, Pacific Northwest Division under Grant #424858. Recommended by Associate Editor A. D. Dominguez-Garcia.",2325-5870
Joint United Nations Programme for HIV/AIDS (UNAIDS) Regional Support Team for Asia and the Pacific; United Nations Office on Drugs and Crime (UNODC) Regional Office for Southeast Asia and the Pacific,,2022,,,,,,,,"Stoicescu, Claudia; Peters, Karen; Lataire, Quinten","A Slow Paradigm Shift: Prioritizing Transparency, Community Empowerment, and Sustained Advocacy to End Compulsory Drug Treatment",HEALTH AND HUMAN RIGHTS,Columbia University,This special issue has been made possible with funding from the Joint United Nations Programme for HIV/AIDS (UNAIDS) Regional Support Team for Asia and the Pacific and the United Nations Office on Drugs and Crime (UNODC) Regional Office for Southeast Asia and the Pacific.,1079-0969
American Heart Association(American Heart Association); NSF (CAREER)(National Science Foundation (NSF)NSF - Office of the Director (OD)); NSF East Asian and Pacific Summer Institutes,,2010,,,,,0,10.1002/anie.200906482,,"Lee, Benjamin W.; Schubert, Rajib; Cheung, Yuk Kee; Zannier, Federico; Wei, Qian; Sacchi, Daniele; Sia, Samuel K.",Strongly Binding Cell-Adhesive Polypeptides of Programmable Valencies,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,Columbia University,We thank the American Heart Association (Scientist Development Grant) and the NSF (CAREER) for financial support. We also acknowledge financial support from the NSF East Asian and Pacific Summer Institutes (R.S.). We are grateful to Dr. Rachel Cheng and Crystal Wang of Academica Sinica for helping with collection of the mass spectrometric data.,1433-7851
National Oceanic and Atmospheric Administration (NOAA) Pacific Marine Environmental Laboratory; National Science Foundation(National Science Foundation (NSF)),,2012,,,,,0,10.5670/oceanog.2012.26,,"Lavelle, J. William; Thurnherr, Andreas M.; Mullineaux, Lauren S.; McGillicuddy, Dennis J., Jr.; Ledwell, James R.","The Prediction, Verification, and Significance of Flank Jets at Mid-Ocean Ridges",OCEANOGRAPHY,National Oceanic Atmospheric Admin (NOAA) - USA; Columbia University; Woods Hole Oceanographic Institution; Woods Hole Oceanographic Institution,"We thank Richard Thomson for comments on the manuscript that led to its improvement. JWL is supported by the National Oceanic and Atmospheric Administration (NOAA) Pacific Marine Environmental Laboratory and by NOAA Vents Program. The work of other authors has been supported by National Science Foundation through grants OCE-0424953 and OCE-0425361, LADDER (LArval Dispersion along the Deep East pacific Rise). This is contribution 3741 from NOAA Pacific Marine Environmental Laboratory.",1042-8275
IBM Faculty Award(International Business Machines (IBM)); NSF(National Science Foundation (NSF)); DARPA/NIWC Pacific; IBM Ph.D. Fellowship(International Business Machines (IBM)),,2023,,,,,0,10.1145/3597926.3598035,,"Ding, Yangruibo; Chakraborty, Saikat; Buratti, Luca; Pujar, Saurabh; Morari, Alessandro; Kaiser, Gail; Ray, Baishakhi",CONCORD: Clone-Aware Contrastive Learning for Source Code,"PROCEEDINGS OF THE 32ND ACM SIGSOFT INTERNATIONAL SYMPOSIUM ON SOFTWARE TESTING AND ANALYSIS, ISSTA 2023",Columbia University; Microsoft; International Business Machines (IBM),"We appreciate all the anonymous reviewers for their thoughtful feedback and suggestions to improve this work.; This work was supported in part by an IBM Ph.D. Fellowship, an IBM Faculty Award, NSF grants CCF-1815494, CCF-210740, CCF-1845893, IIS-2221943, and DARPA/NIWC Pacific N66001-21-C-4018. Any opinions, findings, conclusions or recommendations expressed herein are those of the authors and do not necessarily reflect those of the US Government, NSF, DARPA, or IBM.",
DARPA through NIWC Pacific; Google Cloud computing; Allen Institute for AI (AI2),,2022,,,,,0,10.1162/tacl_a_00478,,"Chakrabarty, Tuhin; Choi, Yejin; Shwartz, Vered",It's not Rocket Science: Interpreting Figurative Language in Narratives,TRANSACTIONS OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS,Columbia University; University of Washington; University of Washington Seattle; University of British Columbia,"This research was supported in part by DARPA under the MCS program through NIWC Pacific(N66001-19-2- 4031), Google Cloud computing,and the Allen Institute for AI (AI2).",
"National Science Foundation, East Asia and Pacific Summer Institutes Fellowship(National Science Foundation (NSF))",,2011,,,,,,,,"Teferra, Kirubel; Chatzi, Eleni N.",Simulating two-phase microstructures using level-cut filtered poisson fields and genetic algorithms,APPLICATIONS OF STATISTICS AND PROBABILITY IN CIVIL ENGINEERING,Columbia University; Swiss Federal Institutes of Technology Domain; ETH Zurich,"This research was party funded by the National Science Foundation, East Asia and Pacific Summer Institutes Fellowship. The authors would especially like to thank host Professor Tsuyoshi Takada and Professor Tatsuya Itoi in the Department of Architecture at The University of Tokyo for their gracious hospitality and research contributions.",
"Directorate for Mathematical and Physical Sciences; NSF(National Science Foundation (NSF)); Packard Fellowship in Science and Engineering, a Simons Fellowship; W.M. Keck Foundation Science and Engineering Grant(W.M. Keck Foundation); Pacific Institute for the Mathematical Sciences (PIMS); Centre de Recherches Mathematique (CRM)",,2024,,,,,0,10.1007/s00220-024-04944-5,,"Corwin, Ivan; Hegde, Milind",The Lower Tail of q-pushTASEP,COMMUNICATIONS IN MATHEMATICAL PHYSICS,Columbia University,"The authors thank Matteo Mucciconi for explaining the proof of Theorem 1.3, as well as Philippe Sosoe and Benjamin Landon for sharing their preprint [LS22a] with us in advance. We also thank the anonymous referees for their thorough reading of the paper and helpful comments. I.C. was partially supported by the NSF through grants DMS:1937254, DMS:1811143, DMS:1664650, as well as through a Packard Fellowship in Science and Engineering, a Simons Fellowship, and a W.M. Keck Foundation Science and Engineering Grant. I.C. also thanks the Pacific Institute for the Mathematical Sciences (PIMS) and Centre de Recherches Mathematique (CRM), where some materials were developed in conjunction with the lectures he gave at the PIMS-CERM summer school in probability (which is partially supported by NSF grant DMS:1952466). M.H. was partially supported by NSF grant DMS:1937254.",0010-3616
NSF AGS award; Asia Pacific Adaptation Network (APAN),,2015,,,,,0,10.1088/1748-9326/10/7/074012,,"Rao, Mukund Palat; Davi, Nicole K.; D'Arrigo, Rosanne D.; Skees, Jerry; Nachin, Baatarbileg; Leland, Caroline; Lyon, Bradfield; Wang, Shih-Yu; Byambasuren, Oyunsanaa","Dzuds, droughts, and livestock mortality in Mongolia",ENVIRONMENTAL RESEARCH LETTERS,Columbia University; Columbia University; University of Kentucky; National University of Mongolia; Columbia University; Utah System of Higher Education; Utah State University,"The authors thank the four anonymous reviewers. The authors are grateful to the Government of Mongolia and all individuals involved in collecting and recording the livestock records. Without these detailed collections every year it would have been impossible to conduct these analyses. The authors thank Dr Upmanu Lall and Mr. Colin Raymond, (Columbia University) for suggestions with statistical analysis. M P R thanks Dr Benjamin I. Cook (NASA-GISS) for assistance in generating figures. The authors dedicate this paper to the memory of Dr Gordon C Jacoby. We acknowledge NSF AGS award #1137729, and funding from the Asia Pacific Adaptation Network (APAN). LDEO contribution number: 7914.",1748-9326
biological and physical oceanography divisions of the National Science Foundation; NOAA's Pacific Marine Environmental Laboratory(National Oceanic Atmospheric Admin (NOAA) - USA); NOAA(National Oceanic Atmospheric Admin (NOAA) - USA),,2011,,,,,0,10.1016/j.dsr.2011.01.009,,"Thurnherr, A. M.; Ledwell, J. R.; Lavelle, J. W.; Mullineaux, L. S.",Hydrography and circulation near the crest of the East Pacific Rise between 9° and 10°N,DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,Columbia University; Woods Hole Oceanographic Institution; National Oceanic Atmospheric Admin (NOAA) - USA; Woods Hole Oceanographic Institution,"Co-funding of the LADDER project by the biological and physical oceanography divisions of the National Science Foundation under Grants OCE-0425361 and OCE-0424953 is gratefully acknowledged, as is support of J.W. Lavelle by NOAA's Pacific Marine Environmental Laboratory and by the NOAA Vents Program. In addition to the co-authors of this study and the very capable and helpful officers and crew of the R/V Atlantis II, collection and calibration of the LADDER PO data involved several students (A. Guan, F. Terenzi, A. Kohn, X. Liang, J. Stewart), two post-doctoral researchers (A. Ruiz Angulo, R. Jackson), as well as a mooring group from WHOI (S. Worrilow, B. Hogue, P. Fraser). Without the excellent data collected during the WOCE P04 cruise in 1989 it would not have been possible to put the LADDER data into a wider context. M. Visbeck donated the neutrally buoyant float deployed on the EPR crest in 2006.",0967-0637
NSF(National Science Foundation (NSF)); National Oceanic and Atmospheric Administration's (NOAA)(National Oceanic Atmospheric Admin (NOAA) - USA); NOAA's Pacific Marine Environmental Laboratory(National Oceanic Atmospheric Admin (NOAA) - USA),,2010,,,,,0,10.1016/j.dsr.2010.04.003,,"McGillicuddy, D. J., Jr.; Lavelle, J. W.; Thurnherr, A. M.; Kosnyrev, V. K.; Mullineaux, L. S.",Larval dispersion along an axially symmetric mid-ocean ridge,DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,Woods Hole Oceanographic Institution; National Oceanic Atmospheric Admin (NOAA) - USA; Columbia University; Woods Hole Oceanographic Institution,"We gratefully acknowledge the support of NSF grant OCE-0424953, which funded the Larval Dispersion along the Deep East Pacific Rise (LADDER) project. JWL was supported by the National Oceanic and Atmospheric Administration's (NOAA) Vents Program and by NOAA's Pacific Marine Environmental Laboratory. Discussions with our LADDER colleague Jim Ledwell were very valuable to the analysis described herein. Comments and suggestions by three anonymous reviewers and Associate Editor Andrew Gooday were of great help in improving the original manuscript.",0967-0637
NOAA's Pacific Marine Environmental Laboratory(National Oceanic Atmospheric Admin (NOAA) - USA); NOAA(National Oceanic Atmospheric Admin (NOAA) - USA); Biological and Physical Oceanography Sections of the Division of Ocean Sciences of the NSF,,2010,,,,,0,10.1029/2010JC006426,,"Lavelle, J. W.; Thurnherr, A. M.; Ledwell, J. R.; McGillicuddy, D. J., Jr.; Mullineaux, L. S.",Deep ocean circulation and transport where the East Pacific Rise at 9-10°N meets the Lamont seamount chain,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,National Oceanic Atmospheric Admin (NOAA) - USA; Columbia University; Woods Hole Oceanographic Institution; Woods Hole Oceanographic Institution,"The work of the lead author was funded by NOAA's Pacific Marine Environmental Laboratory and by NOAA's Vents Program. The work of the other authors has been supported by the Biological and Physical Oceanography Sections of the Division of Ocean Sciences of the NSF under grants OCE-0424953 and OCE-0425361, Larval Dispersion along the Deep East Pacific Rise (LADDER). This is contribution 3537 from NOAA's Pacific Marine Environmental Laboratory. The freeware application Ferret was used to analyze and display data sets.",2169-9275
U.S. Advanced Research Projects Agency-Energy under ENLITENED; U.S. Defense Advanced Research Projects Agency(United States Department of DefenseDefense Advanced Research Projects Agency (DARPA)); Naval Information Warfare Center Pacific (NIWC Pacific),,2022,,,,,0,10.1117/12.2607287,,"Murthy, Vaishnavi; Rizzo, Anthony; Leake, Gerald; Mehta, Nandish; Novick, Asher; Daudlin, Stuart; Haatnik, Maarten; van Niekerk, Matthew; Fanto, Michael; Coleman, Daniel; Preble, Stefan; Bergman, Keren",Mitigation of parasitic junction formation in compact resonant modulators with doped silicon heaters,"LASER RESONATORS, MICRORESONATORS, AND BEAM CONTROL XXIV",Columbia University; State University of New York (SUNY) System; State University of New York (SUNY) Albany; SUNY Polytechnic Institute; Nvidia Corporation; Rochester Institute of Technology,This work was supported in part by the U.S. Advanced Research Projects Agency-Energy under ENLITENED Grant DE-AR000843 and in part by the U.S. Defense Advanced Research Projects Agency under PIPES Grant HR00111920014 in addition to the Naval Information Warfare Center Pacific (NIWC Pacific) under Contract No. N66001-20-C-4001. The authors thank AIM Photonics/SUNY CNSE for chip fabrication.,0277-786X
Portland VA Healthcare System; Pacific Vision Foundation,,2016,,,,,0,10.1016/j.survophthal.2016.03.003,,"Bhavsar, Kavita V.; Lin, Sally; Rahimy, Ehsan; Joseph, Anthony; Freund, K. Bailey; Sarraf, David; Cunningham, Emmett T., Jr.",Acute macular neuroretinopathy: A comprehensive review of the literature,SURVEY OF OPHTHALMOLOGY,Vitreous Retina Macula Consultants of New York; Manhattan Eye Ear & Throat Hospital; New York University; NYU Langone Medical Center; Columbia University; California Pacific Medical Center; Jefferson University; University of California System; University of California Los Angeles; US Department of Veterans Affairs; Veterans Health Administration (VHA); VA Greater Los Angeles Healthcare System; Stanford University; University of California System; University of California San Francisco; West Coast Retina,"Dr. Bhaysar is currently at Casey Eye Institute, Portland, OR. She receives support from the Portland VA Healthcare System. Dr. Lin is currently at the Department of Ophthalmology, Kaiser Permanente Medical Center, Union City, CA. This work was supported in part by the Pacific Vision Foundation (Sally Lin and Ehsan Rahimy).",0039-6257
National Oceanic and Atmospheric Administration's (NOAA) Vents Program; NOAA's Pacific Marine Environmental Laboratory(National Oceanic Atmospheric Admin (NOAA) - USA); Captain and crew of RN Atlantis; Alvin group,,2013,,,,,0,10.1016/j.dsr2.2013.03.032,,"Mullineaux, L. S.; McGillicuddy, D. J., Jr.; Mills, S. W.; Kosnyrev, V. K.; Thurnherr, A. M.; Ledwell, J. R.; Lavelle, J. W.",Active positioning of vent larvae at a mid-ocean ridge,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,Woods Hole Oceanographic Institution; Woods Hole Oceanographic Institution; Columbia University; National Oceanic Atmospheric Admin (NOAA) - USA,"We gratefully acknowledge the support of NSF grants OCE-0424953 and OCE-0525361, which funded the Larval Dispersal on the Deep East Pacific Rise (LADDER) project. WHOI provided additional support to L.S.M. as an Ocean Life Fellow, to DJ.M. as 56 the Holger Jannasch Chair for Excellence in Oceanography, and to J.R. L as the Edward W. and Betty J. Scripps Senior Scientist Chair. J.W.L. was supported by the National Oceanic and Atmospheric Administration's (NOAA) Vents Program and by NOAA's Pacific Marine Environmental Laboratory. We appreciate the operations support from the Captain and crew of RN Atlantis, and the Alvin group, during cruises AT15-12 and AT15-26. Technical and scientific assistance at sea was provided by S. Bayer, S. Beaulieu, I. Garcia Berdeal, X. Guan, B. Guest, B. Hogue, P.R Jackson, A. Kohli, X. Liang, A. Ruiz-Angulo, N. Staglicic, C. Strasser, F. Terenzi, B. Walther, and S. Worrilow. A. Waren provided expertise on larval gastropod identification. The study benefited from discussions with Stace Beaulieu and Diane Adams, and the manuscript was improved by comments from three anonymous reviewers.",0967-0645
National Science Foundation(National Science Foundation (NSF)); Texas advanced Computing Center (TACC); U.S. Department of Energy(United States Department of Energy (DOE)); Pacific Northwest National Laboratory(United States Department of Energy (DOE)),,2020,,,,,0,10.1016/j.jcat.2020.05.007,,"You, Kyung-Eun; Ammal, Salai C.; Lin, Zhexi; Wan, Weiming; Chen, Jingguang G.; Heyden, Andreas",Understanding the effect of Mo2C support on the activity of Cu for the hydrodeoxygenation of glycerol,JOURNAL OF CATALYSIS,University of South Carolina System; University of South Carolina Columbia; Columbia University,"This work was sponsored by the National Science Foundation under Grant No. CHE-1565964 and CHE-1566104. Computational resources provided by XSEDE facilities located at San Diego Supercomputer Center (SDSC) and Texas advanced Computing Center (TACC) under grant number TG-CTS090100, U.S. Department of Energy facilities located at the National Energy Research Scientific Computing Center (NERSC) under Contract No. DE-AC0205CH11231 and Pacific Northwest National Laboratory (Ringgold ID 130367, Grant Proposals 50576 and 51163) and the HighPerformance Computing clusters located at University of South Carolina are gratefully acknowledged.",0021-9517
City University of Hong Kong(City University of Hong Kong); Guy Carpenter Asia-Pacific Climate Impact Centre of the City University of Hong Kong(City University of Hong Kong),,2014,,,,,0,10.3402/tellusb.v66.23455,,"Lee, Y. C.; Shindell, D. T.; Faluvegi, G.; Wenig, M.; Lam, Y. F.; Ning, Z.; Hao, S.; Lai, C. S.","Increase of ozone concentrations, its temperature sensitivity and the precursor factor in South China",TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,City University of Hong Kong; National Aeronautics & Space Administration (NASA); NASA Goddard Space Flight Center; Goddard Institute for Space Studies; Columbia University; University of Munich; City University of Hong Kong,The work described in this paper was supported by a grant from City University of Hong Kong (Project No. 9041479). Thanks are due to the Guy Carpenter Asia-Pacific Climate Impact Centre of the City University of Hong Kong for research grant support. The authors also gratefully acknowledge the Environmental Protection Department and the Hong Kong Observatory of the Hong Kong Special Administrative Region for the provision of air quality and meteorological data for the research. We also owe our special thanks to the NOAA-ESRL Physical Sciences Division (PSD) and the NASA GES DISC (Giovanni system) for analyses and visualisations generated on their online data systems.,1600-0889
University of California Pacific Rim Research Foundation; National Science Foundation(National Science Foundation (NSF)); National Oceanic and Atmospheric Administration(National Oceanic Atmospheric Admin (NOAA) - USA),,2015,,,,,0,10.2993/0278-0771-35.1.140,,"Petty, Aaron M.; deKoninck, Vanessa; Orlove, Ben","CLEANING, PROTECTING, OR ABATING? MAKING INDIGENOUS FIRE MANAGEMENT WORK'' IN NORTHERN AUSTRALIA",JOURNAL OF ETHNOBIOLOGY,University of California System; University of California Davis; Columbia University; Columbia University,"Research for this paper was funded in part by the University of California Pacific Rim Research Foundation and National Science Foundation Dissertation Improvement Grant #211377. Writing of this paper was funded in part by the National Oceanic and Atmospheric Administration. The authors thank the rangers of Kakadu National Park for frank and honest discussion and generous logistical and technical support, particularly Steve Winderlich who has worked tirelessly to improve fire management in Kakadu. Jeremy Freeman assisted with the development of Figure 1.",0278-0771
European Union(European Union (EU)); Pacific Institute for Climate Solutions; H2020 Societal Challenges Programme(Horizon 2020European Union (EU)H2020 Societal Challenges Programme),,2020,,,,,0,10.1038/s43017-019-0011-8,,"Snaebjornsdottir, Sandra O.; Sigfusson, Bergur; Marieni, Chiara; Goldberg, David; Gislason, Sigurdur R.; Oelkers, Eric H.",Carbon dioxide storage through mineral carbonation,NATURE REVIEWS EARTH & ENVIRONMENT,Universite de Toulouse; Universite Toulouse III - Paul Sabatier; Centre National de la Recherche Scientifique (CNRS); Institut de Recherche pour le Developpement (IRD); CNRS - National Institute for Earth Sciences & Astronomy (INSU); Columbia University; University of Iceland; University of London; University College London,"S..S., B.S., C.M., S.R.G. and E.H.O. work on the CarbFix project funded by the European Union's Horizon 2020 research and innovation programme under grant agreement 764760 (CarbFix2), 818169 (GECO) and 764810 (S4CE). D.G. works on the Solid Carbon project funded by the Pacific Institute for Climate Solutions. The authors thank E.S. Aradottir Pind, R.B. Bragadottir, K. Helgason, M. Voigt and R. thornrastarson for discussions and assistance in developing Fig. 2.",
"National Science Foundation (NSF) as part of the East Asia Pacific Summer Institute (EAPSI), China(National Science Foundation (NSF))",,2013,,,,,0,10.1007/s11869-011-0157-0,,"Kragie, Sheila Xiah; Ryan, P. Barry; Bergin, Michael H.; Wang, Shuxiao",Airborne trace metals from coal combustion in Beijing,AIR QUALITY ATMOSPHERE AND HEALTH,Emory University; Rollins School Public Health; University System of Georgia; Georgia Institute of Technology; Tsinghua University; Columbia University,"We would like to acknowledge Prof. Jiayu Xu for sharing meteorological data and experience, Yang Gao at Tsinghua University, the Dose-Response Lab at CDC/ATSDR, and Steve Bullard of the CDC GRASP Team for his ArcGIS assistance. This research was funded by National Science Foundation (NSF) as part of the 2007 East Asia Pacific Summer Institute (EAPSI), China.",1873-9318
"National Science Foundatron (NSF) CAREER grant(National Science Foundation (NSF)); McKnight Scholar award; NSF(National Science Foundation (NSF)); Defense Advanced Research Projects Agency (DARPA) MTO (Microsystems Technology Office) through Space and Naval Warfare Systems Center, Pacific; U.S. Army Research Laboratory(United States Department of DefenseUS Army Research Laboratory (ARL)); U.S. Army Research Office; Swartz Foundation",,2014,,,,,0,10.1080/10618600.2013.788448,,"Pakman, Ari; Paninski, Liam",Exact Hamiltonian Monte Carlo for Truncated Multivariate Gaussians,JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,Columbia University; Columbia University,"This work was supported by a National Science Foundatron (NSF) CAREER grant, a McKnight Scholar award, an NSF grant IIS-0904353, and by the Defense Advanced Research Projects Agency (DARPA) MTO (Microsystems Technology Office) under the auspices of Dr. Jack Judy, through the Space and Naval Warfare Systems Center, Pacific grant/contract no. N66001-11-1-4205. This material is based upon work supported by, or in part by, the U.S. Army Research Laboratory and the U.S. Army Research Office under contract number W911NF-12-1-0594. AP is supported by the Swartz Foundation. We thank Matt Hoffman, Alexandro Ramirez, and Eftychios Pnevmatikakis for their helpful discussions.",1061-8600
"National Science Foundation(National Science Foundation (NSF)); U.S. Department of Energy, Office of Basic Energy Sciences(United States Department of Energy (DOE)); Texas advanced Computing Center (TACC); U.S. Department of Energy(United States Department of Energy (DOE)); Pacific Northwest National Laboratory(United States Department of Energy (DOE))",,2018,,,,,0,10.1038/s41467-018-07047-7,,"Wan, Weiming; Ammal, Salai C.; Lin, Zhexi; You, Kyung-Eun; Heyden, Andreas; Chen, Jingguang G.",Controlling reaction pathways of selective C-O bond cleavage of glycerol,NATURE COMMUNICATIONS,Columbia University; University of South Carolina System; University of South Carolina Columbia,"This work was sponsored by the National Science Foundation under Grant No. CHE-1565964. Weiming Wan performed HREELS measurements as part of the Catalysis Center for Energy Innovation (CCEI), an Energy Frontier Research Center (EFRC) funded by the U.S. Department of Energy, Office of Basic Energy Sciences under Award Number DE-SC0001004. Computational resources provided by XSEDE facilities located at San Diego Supercomputer Center (SDSC) and Texas advanced Computing Center (TACC) under grant number TG-CTS090100, U.S. Department of Energy facilities located at the National Energy Research Scientific Computing Center (NERSC) under Contract No. DE-AC02-05CH11231 and Pacific Northwest National Laboratory (Ring-gold ID 130367, Grant Proposal 49246) and the High-Performance Computing clusters located at University of South Carolina are gratefully acknowledged.",2041-1723
"VA Health Services Research and Development Quality Enhancement Research Initiative (QUERI); VA Desert Pacific Mental Illness Research, Education, and Clinical Center (MIRECC)",,2018,,,,,0,10.1111/1467-6427.12147,,"Niv, Noosha; Frousakis, Nikki; Zucker, Bonnie G.; Glynn, Shirley; Dixon, Lisa",A brief family intervention for depression in primary care,JOURNAL OF FAMILY THERAPY,University of California System; University of California Los Angeles; US Department of Veterans Affairs; Veterans Health Administration (VHA); West Los Angeles VA Medical Center; Columbia University; New York State Psychiatry Institute,"This study was supported in part by grant RRP 10-216 from the VA Health Services Research and Development Quality Enhancement Research Initiative (QUERI) and by the VA Desert Pacific Mental Illness Research, Education, and Clinical Center (MIRECC). Special thanks to Dr Lamees Khorshid and Dr Lois Krawczyk for their administrative assistance and to the TIDES DCMs who participated: Kristine Eschenbruecher, Grace De Borja, Relda Gilbertson, Walter Reynolds, and Valerie Wada. Any opinions expressed are those of the authors only and do not necessarily represent the views of any affiliated institutions.",0163-4445
World Gastroenterology Organization; Asia Pacific Association of Gastroenterology; Journal of Gastroenterology and Hepatology Foundation,,2014,,,,,0,10.1111/jgh.12514,,"Makharia, Govind K.; Mulder, Chris J. J.; Goh, Khean Lee; Ahuja, Vineet; Bai, Julio C.; Catassi, Carlo; Green, Peter H. R.; Gupta, Siddhartha Datta; Lundin, Knut E. A.; Ramakrishna, Balakrishnan Siddartha; Rawat, Ramakant; Sharma, Hanish; Sood, Ajit; Watanabe, Chikako; Gibson, Peter R.",Issues associated with the emergence of coeliac disease in the Asia-Pacific region: A working party report of the World Gastroenterology Organization and the Asian Pacific Association of Gastroenterology,JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,All India Institute of Medical Sciences (AIIMS) New Delhi; All India Institute of Medical Sciences (AIIMS) New Delhi; SRM Institute of Science & Technology Chennai; Dayanand Medical College & Hospital; Vrije Universiteit Amsterdam; VU UNIVERSITY MEDICAL CENTER; Universiti Malaya; Marche Polytechnic University; Columbia University; University of Oslo; Monash University,"We acknowledge the support of World Gastroenterology Organization, Asia Pacific Association of Gastroenterology, and Journal of Gastroenterology and Hepatology Foundation for providing financial support for this working party. We also acknowledge the contribution of Mr Sandeep Paras and Mr Manish Pathak for helping in the organization of the working party meeting.",0815-9319
